"Yes, I do!","Yes, I do!"
"Update to your %store_name order","Update to your %store_name order"
"ORDER NUMBER: %increment_id ","ORDER NUMBER: %increment_id "
"Update to your %store_name shipment","Update to your %store_name shipment"
"Take a look at %customer_name's Wish List","Take a look at %customer_name's Wish List"
"Hello, %customer_name wants to share this","Hello, %customer_name wants to share this"
"Wish List","Wish List"
"with somebody special like you!","with somebody special like you!"
"To begin see what %customer_name found and wants to share with you click on the button below :)","To begin see what %customer_name found and wants to share with you click on the button below :)"
"View all items","View all items"
"Email Template Editor","Email Template Editor"
"General Settings","General Settings"
"Enable Extension","Enable Extension"
"Show Product Image In Template","Show Product Image In Template"
"Logo Light","Logo Light"
"Upload Logo Light","Upload Logo Light"
"Logo Light Link","Logo Light Link"
"Logo Light Alt","Logo Light Alt"
"Logo Light Width","Logo Light Width"
"Logo Light Height","Logo Light Height"
"Logo Dark","Logo Dark"
"Upload Logo Dark","Upload Logo Dark"
"Logo Dark Link","Logo Dark Link"
"Logo Dark Alt","Logo Dark Alt"
"Logo Dark Width","Logo Dark Width"
"Logo Dark Height","Logo Dark Height"
"Email Header Options","Email Header Options"
"Email Header Background Color","Email Header Background Color"
"Email Footer Options","Email Footer Options"
"Email Footer Background Color","Email Footer Background Color"
"Email Top Menu","Email Top Menu"
"Email Top Menu Font Color","Email Top Menu Font Color"
"Email Top Menu Background Color","Email Top Menu Background Color"
"Email Top Menu Padding Top/Bottom","Email Top Menu Padding Top/Bottom"
"Email Top Menu Items Padding","Email Top Menu Items Padding"
"Email Body Options","Email Body Options"
"Email Wrapper Background Color","Email Wrapper Background Color"
"Email Content Body Background Color","Email Content Body Background Color"
"Email Body Text Color","Email Body Text Color"
"Email Body Link Color","Email Body Link Color"
"Email Body Order Total Section Background Color","Email Body Order Total Section Background Color"
H1,H1
"Text Color","Text Color"
"Use Google Fonts","Use Google Fonts"
"Google Font Family","Google Font Family"
"Google Font Character Set","Google Font Character Set"
"Set Font Family (websafe)","Set Font Family (websafe)"
"Set Fallback Font Family","Set Fallback Font Family"
"Font Weight","Font Weight"
"Font Size","Font Size"
"Font Style","Font Style"
"Line Height","Line Height"
"Letter Spacing","Letter Spacing"
H2,H2
H3,H3
Paragraph,Paragraph
Buttons,Buttons
"Buttons Text Color","Buttons Text Color"
"Buttons Background Color","Buttons Background Color"
"Buttons Border Color","Buttons Border Color"
"Buttons Hover Text Color","Buttons Hover Text Color"
"Buttons Hover Background Color","Buttons Hover Background Color"
"Buttons Hover Border Color","Buttons Hover Border Color"
"Email Body Messages (eg. order/invoice comment)","Email Body Messages (eg. order/invoice comment)"
"Comment Section Text Color","Comment Section Text Color"
"Comment Section Background Color","Comment Section Background Color"
"Products Grid","Products Grid"
"Enable Products Grid","Enable Products Grid"
"Grid Title","Grid Title"
"Products Type","Products Type"
"Number of products","Number of products"
"Leave 0 to list all products.","Leave 0 to list all products."
