"Please configure the Social Login Buttons position in the Ajax pop-up. Note that the bottom position is the only available option for the registration pop-up.","Please configure the Social Login Buttons position in the Ajax pop-up. Note that the bottom position is the only available option for the registration pop-up."
"Redirect after Login","Redirect after Login"
"Redirect Url after Login","Redirect Url after Login"
"Select the behavior and the page to direct customers after their social login.","Select the behavior and the page to direct customers after their social login."
"Use New Redirect URI","Use New Redirect URI"
"Redirect URI will soon be replaced by New Redirect URI. To avoid functioning downtime we strongly recommend to switch to new url before next extension’s update.","Redirect URI will soon be replaced by New Redirect URI. To avoid functioning downtime we strongly recommend to switch to new url before next extension’s update."
"New Redirect URL","New Redirect URL"
"Close a Popup When Clicked Outside of It","Close a Popup When Clicked Outside of It"
Google,Google
Enabled,Enabled
"See how to configure app <a target=""_blank"" href=""https://amasty.com/docs/doku.php?id=magento_2:social_login#google"">here</a>.","See how to configure app <a target=""_blank"" href=""https://amasty.com/docs/doku.php?id=magento_2:social_login#google"">here</a>."
"Consumer Key (API Key)","Consumer Key (API Key)"
"Consumer Secret (API Secret)","Consumer Secret (API Secret)"
"Valid Callback URL (Deprecated)","Valid Callback URL (Deprecated)"
"Sort Order","Sort Order"
Facebook,Facebook
Twitter,Twitter
"See how to configure app <a target=""_blank"" href=""https://amasty.com/docs/doku.php?id=magento_2:social_login#twitter"">here</a>.","See how to configure app <a target=""_blank"" href=""https://amasty.com/docs/doku.php?id=magento_2:social_login#twitter"">here</a>."
Instagram,Instagram
"See how to configure app <a target=""_blank"" href=""https://amasty.com/docs/doku.php?id=magento_2:social_login#instagram"">here</a>.","See how to configure app <a target=""_blank"" href=""https://amasty.com/docs/doku.php?id=magento_2:social_login#instagram"">here</a>."
LinkedIn,LinkedIn
"See how to configure app <a target=""_blank"" href=""https://amasty.com/docs/doku.php?id=magento_2:social_login#linkedin"">here</a>.","See how to configure app <a target=""_blank"" href=""https://amasty.com/docs/doku.php?id=magento_2:social_login#linkedin"">here</a>."
Amazon,Amazon
"See how to configure app <a target=""_blank"" href=""https://amasty.com/docs/doku.php?id=magento_2:social_login#amazon"">here</a>.","See how to configure app <a target=""_blank"" href=""https://amasty.com/docs/doku.php?id=magento_2:social_login#amazon"">here</a>."
Paypal,Paypal
"See how to configure app <a target=""_blank"" href=""https://amasty.com/docs/doku.php?id=magento_2:social_login#paypal"">here</a>.","See how to configure app <a target=""_blank"" href=""https://amasty.com/docs/doku.php?id=magento_2:social_login#paypal"">here</a>."
Twitch,Twitch
"See how to configure app <a target=""_blank"" href=""https://amasty.com/docs/doku.php?id=magento_2:social_login#twitch"">here</a>.","See how to configure app <a target=""_blank"" href=""https://amasty.com/docs/doku.php?id=magento_2:social_login#twitch"">here</a>."
"Login type","Login type"
