2106,526,10240,Khlong Kum,คลองกุ่ม
2107,526,10240,Nawamin,นวมินทร์
2108,526,10240,Nuan Chan,นวลจันทร์
2109,527,10120,Thung Wat Don,ทุ่งวัดดอน
2110,527,10120,Yan Nawa,ยานนาวา
2111,527,10120,Thung Maha Mek,ทุ่งมหาเมฆ
2112,528,10800,Bang Sue,บางซื่อ
2113,528,10800,Wong Sawang,วงศ์สว่าง
2114,529,10900,Lat Yao,ลาดยาว
2115,529,10900,Sena Nikhom,เสนานิคม
2116,529,10900,Chan Kasem,จันทรเกษม
2117,529,10900,Chom Phon,จอมพล
2118,529,10900,Chatuchak,จตุจักร
2119,530,10120,Bang Kho Laem,บางคอแหลม
2120,530,10120,Wat Phraya Krai,วัดพระยาไกร
2121,530,10120,Bang Khlo,บางโคล่
2122,531,10250,Prawet,ประเวศ
2123,531,10250,Nong Bon,หนองบอน
2124,531,10250,Dok Mai,ดอกไม้
2125,532,10110,Khlong Toei,คลองเตย
2126,532,10110,Khlong Tan,คลองตัน
2127,532,10110,Phra Khanong,พระโขนง
2128,533,10250,Suan Luang,สวนหลวง
2129,533,10250,On Nut,อ่อนนุช
2130,533,10250,Phatthanakan,พัฒนาการ
2131,534,10150,Bang Khun Thian,บางขุนเทียน
2132,534,10150,Bang Kho,บางค้อ
2133,534,10150,Bang Mot,บางมด
2134,534,10150,Chom Thong,จอมทอง
2135,535,10210,Si Kan,สีกัน
2136,535,10210,Don Mueang,ดอนเมือง
2137,535,10210,Sanambin,สนามบิน
2138,536,10400,Thung Phaya Thai,ทุ่งพญาไท
2139,536,10400,Thanon Phaya Thai,ถนนพญาไท
2140,536,10400,Thanon Phetchaburi,ถนนเพชรบุรี
2141,536,10400,Makkasan,มักกะสัน
2142,537,10230,Lat Phrao,ลาดพร้าว
2143,537,10230,Chorakhe Bua,จรเข้บัว
2144,538,10110,Khlong Toei Nuea,คลองเตยเหนือ
2145,538,10110,Khlong Tan Nuea,คลองตันเหนือ
2146,538,10110,Phra Khanong Nuea,พระโขนงเหนือ
2147,539,10160,Bang Khae,บางแค
2148,539,10160,Bang Khae Nuea,บางแคเหนือ
2149,539,10160,Bang Phai,บางไผ่
2150,539,10160,Lak Song,หลักสอง
2151,540,10210,Thung Song Hong,ทุ่งสองห้อง
2152,540,10210,Talat Bang Khen,ตลาดบางเขน
2153,541,10220,Sai Mai,สายไหม
2154,541,10220,O Ngoen,ออเงิน
2155,541,10220,Khlong Thanon,คลองถนน
2156,542,10230,Khan Na Yao,คันนายาว
2157,542,10230,Ram Inthra,รามอินทรา
2158,543,10240,Saphan Sung,สะพานสูง
2159,543,10240,Rat Phatthana,ราษฎร์พัฒนา
2160,543,10250,Thap Chang,ทับช้าง
2161,544,10310,Wang Thonglang,วังทองหลาง
2162,544,10310,Saphan Song,สะพานสอง
2163,544,10310,Khlong Chaokhun Sing,คลองเจ้าคุณสิงห์
2164,544,10310,Phlapphla,พลับพลา
2165,545,10510,Sam Wa Tawan Tok,สามวาตะวันตก
2166,545,10510,Sam Wa Tawan Ok,สามวาตะวันออก
2167,545,10510,Bang Chan,บางชัน
2168,545,10510,Sai Kong Din,ทรายกองดิน
2169,545,10510,Sai Kong Din Tai,ทรายกองดินใต้
2170,546,10260,Bang Na Nuea,บางนาเหนือ
2171,546,10260,Bang Na Tai,บางนาใต้
2172,547,10170,Thawi Watthana ,ทวีวัฒนา
2173,547,10170,Sala Thammasop,ศาลาธรรมสพน์
2174,548,10140,Bang Mot,บางมด
2175,548,10140,Thung Khru,ทุ่งครุ
2176,549,10150,Bang Bon Nuea,บางบอนเหนือ
2177,549,10150,Bang Bon Tai,บางบอนใต้
2178,549,10150,Khlong Bang Phran,คลองบางพราน
2179,549,10150,Khlong Bang Bon,คลองบางบอน
2180,550,10270,Pak Nam,ปากน้ำ
2181,550,10270,Samrong Nuea,สำโรงเหนือ
2182,550,10270,Bang Mueang,บางเมือง
2183,550,10280,Thai Ban,ท้ายบ้าน
2184,550,10280,Bang Pu Mai,บางปูใหม่
2185,550,10280,Phraek Sa,แพรกษา
2186,550,10270,Bang Prong,บางโปรง
2187,550,10270,Bang Pu,บางปู
2188,550,10270,Bang Duan,บางด้วน
2189,550,10270,Bang Mueang Mai,บางเมืองใหม่
2190,550,10270,Thepharak,เทพารักษ์
2191,550,10280,Thai Ban Mai,ท้ายบ้านใหม่
2192,550,10280,Phraek Sa Mai,แพรกษาใหม่
2193,551,10560,Bang Bo,บางบ่อ
2194,551,10560,Ban Rakat,บ้านระกาศ
2195,551,10560,Bang Phli Noi,บางพลีน้อย
2196,551,10560,Bang Phriang,บางเพรียง
2197,551,10550,Khlong Dan,คลองด่าน
2198,551,10560,Khlong Suan,คลองสวน
2199,551,10560,Preng,เปร็ง
2200,551,10560,Khlong Niyom Yattra,คลองนิยมยาตรา
2201,552,10540,Bang Phli Yai,บางพลีใหญ่
2202,552,10540,Bang Kaeo,บางแก้ว
2203,552,10540,Bang Pla,บางปลา
2204,552,10540,Bang Chalong,บางโฉลง
2205,552,10540,Racha Thewa,ราชาเทวะ
2206,552,10540,Nong Prue,หนองปรือ
2207,553,10130,Talat,ตลาด
2208,553,10130,Bang Phueng,บางพึ่ง
2209,553,10130,Bang Chak,บางจาก
2210,553,10130,Bang Khru,บางครุ
2211,553,10130,Bang Ya Phraek,บางหญ้าแพรก
2212,553,10130,Bang Hua Suea,บางหัวเสือ
2213,553,10130,Samrong Tai,สำโรงใต้
2214,553,10130,Bang Yo,บางยอ
2215,553,10130,Bang Kachao,บางกะเจ้า
2216,553,10130,Bang Nam Phueng,บางน้ำผึ้ง
2217,553,10130,Bang Krasop,บางกระสอบ
2218,553,10130,Bang Ko Bua,บางกอบัว
2219,553,10130,Song Khanong,ทรงคนอง
2220,553,10130,Samrong,สำโรง
2221,553,10130,Samrong Klang,สำโรงกลาง
2222,554,10290,Na Kluea,นาเกลือ
2223,554,10290,Ban Khlong Suan,บ้านคลองสวน
2224,554,10290,Laem Fa Pha,แหลมฟ้าผ่า
2225,554,10290,Pak Khlong Bang Pla Kot,ปากคลองบางปลากด
2226,554,10290,Nai Khlong Bang Pla Kot,ในคลองบางปลากด
2227,555,10540,Bang Sao Thong,บางเสาธง
2228,555,10540,Sisa Chorakhe Noi,ศีรษะจรเข้น้อย
2229,555,10540,Sisa Chorakhe Yai,ศีรษะจรเข้ใหญ่
2230,556,11000,Suan Yai,สวนใหญ่
2231,556,11000,Talat Khwan,ตลาดขวัญ
2232,556,11000,Bang Khen,บางเขน
2233,556,11000,Bang Kraso,บางกระสอ
2234,556,11000,Tha Sai,ท่าทราย
2235,556,11000,Bang Phai,บางไผ่
2236,556,11000,Bang Si Mueang,บางศรีเมือง
2237,556,11000,Bang Krang,บางกร่าง
2238,556,11000,Sai Ma,ไทรม้า
2239,556,11000,Bang Rak Noi,บางรักน้อย
2240,557,11130,Wat Chalo,วัดชลอ
2241,557,11130,Bang Kruai,บางกรวย
2242,557,11130,Bang Si Thong,บางสีทอง
2243,557,11130,Bang Khanun,บางขนุน
2244,557,11130,Bang Khun Kong,บางขุนกอง
2245,557,11130,Bang Khu Wiang,บางคูเวียง
2246,557,11130,Mahasawat,มหาสวัสดิ์
2247,557,11130,Plai Bang,ปลายบาง
2248,557,11130,Sala Klang,ศาลากลาง
2249,558,11140,Bang Muang,บางม่วง
2250,558,11140,Bang Mae Nang,บางแม่นาง
2251,558,11140,Bang Len,บางเลน
2252,558,11140,Sao Thong Hin,เสาธงหิน
2253,558,11140,Bang Yai,บางใหญ่
2254,558,11140,Ban Mai,บ้านใหม่
2255,559,11110,Sano Loi,โสนลอย
2256,559,11110,Bang Bua Thong,บางบัวทอง
2257,559,11110,Bang Rak Yai,บางรักใหญ่
2258,559,11110,Bang Khu Rat,บางคูรัด
2259,559,11110,Lahan,ละหาร
2260,559,11110,Lam Pho,ลำโพ
2261,559,11110,Phimonrat,พิมลราช
2262,559,11110,Bang Rak Phatthana,บางรักพัฒนา
2263,560,11150,Sai Noi,ไทรน้อย
2264,560,11150,Rat Niyom,ราษฎร์นิยม
2265,560,11150,Nong Phrao Ngai,หนองเพรางาย
2266,560,11150,Sai Yai,ไทรใหญ่
2267,560,11150,Khun Si,ขุนศรี
2268,560,11150,Khlong Khwang,คลองขวาง
2269,560,11150,Thawi Watthana ,ทวีวัฒนา
2270,561,11120,Pak Kret,ปากเกร็ด
2271,561,11120,Bang Talat,บางตลาด
2272,561,11120,Ban Mai,บ้านใหม่
2273,561,11120,Bang Phut,บางพูด
2274,561,11120,Bang Tanai,บางตะไนย์
2275,561,11120,Khlong Phra Udom,คลองพระอุดม
2276,561,11120,Tha It,ท่าอิฐ
2277,561,11120,Ko Kret,เกาะเกร็ด
2278,561,11120,Om Kret,อ้อมเกร็ด
2279,561,11120,Khlong Khoi,คลองข่อย
2280,561,11120,Bang Phlap,บางพลับ
2281,561,11120,Khlong Kluea,คลองเกลือ
2282,562,12000,Bang Prok,บางปรอก
2283,562,12000,Ban Mai,บ้านใหม่
2284,562,12000,Ban Klang,บ้านกลาง
2285,562,12000,Ban Chang,บ้านฉาง
2286,562,12000,Ban Krachaeng,บ้านกระแชง
2287,562,12000,Bang Khayaeng,บางขะแยง
2288,562,12000,Bang Khu Wat,บางคูวัด
2289,562,12000,Bang Luang,บางหลวง
2290,562,12000,Bang Duea,บางเดื่อ
2291,562,12000,Bang Phut,บางพูด
2292,562,12000,Bang Phun,บางพูน
2293,562,12000,Bang Kadi,บางกะดี
2294,562,12000,Suan Phrik Thai,สวนพริกไทย
2295,562,12000,Lak Hok,หลักหก
2296,563,12120,Khlong Nueng,คลองหนึ่ง
2297,563,12120,Khlong Song,คลองสอง
2298,563,12120,Khlong Sam,คลองสาม
2299,563,12120,Khlong Si,คลองสี่
2300,563,12120,Khlong Ha,คลองห้า
2301,563,12120,Khlong Hok,คลองหก
2302,563,12120,Khlong Chet,คลองเจ็ด
2303,564,12130,Pracha Thipat,ประชาธิปัตย์
2304,564,12130,Bueng Yitho,บึงยี่โถ
2305,564,12110,Rangsit,รังสิต
2306,564,12110,Lam Phak Kut,ลำผักกูด
2307,564,12110,Bueng Sanan,บึงสนั่น
2308,564,12110,Bueng Nam Rak,บึงน้ำรักษ์
2309,565,12170,Bueng Ba,บึงบา
2310,565,12170,Bueng Bon,บึงบอน
2311,565,12170,Bueng Ka Sam,บึงกาสาม
2312,565,12170,Bueng Cham O,บึงชำอ้อ
2313,565,12170,Nong Sam Wang,หนองสามวัง
2314,565,12170,Sala Khru,ศาลาครุ
2315,565,12170,Noppharat,นพรัตน์
2316,566,12140,Rahaeng,ระแหง
2317,566,12140,Lat Lum Kaeo,ลาดหลุมแก้ว
2318,566,12140,Khu Bang Luang,คูบางหลวง
2319,566,12140,Khu Khwang,คูขวาง
2320,566,12140,Khlong Phra Udom,คลองพระอุดม
2321,566,12140,Bo Ngoen,บ่อเงิน
2322,566,12140,Na Mai,หน้าไม้
2323,567,12130,Khu Khot,คูคต
2324,567,12150,Lat Sawai,ลาดสวาย
2325,567,12150,Bueng Kham Phoi,บึงคำพร้อย
2326,567,12150,Lam Luk Ka,ลำลูกกา
2327,567,12150,Bueng Thong Lang,บึงทองหลาง
2328,567,12150,Lam Sai,ลำไทร
2329,567,12150,Bueng Kho Hai,บึงคอไห
2330,567,12150,Phuet Udom,พืชอุดม
2331,568,12160,Bang Toei,บางเตย
2332,568,12160,Khlong Khwai,คลองควาย
2333,568,12160,Sam Khok,สามโคก
2334,568,12160,Krachaeng,กระแชง
2335,568,12160,Bang Pho Nuea,บางโพธิ์เหนือ
2336,568,12160,Chiang Rak Yai,เชียงรากใหญ่
2337,568,12160,Ban Pathum,บ้านปทุม
2338,568,12160,Ban Ngio,บ้านงิ้ว
2339,568,12160,Chiang Rak Noi,เชียงรากน้อย
2340,568,12160,Bang Krabue,บางกระบือ
2341,568,12160,Thai Ko,ท้ายเกาะ
2342,569,13000,Pratu Chai,ประตูชัย
2343,569,13000,Kamang,กะมัง
2344,569,13000,Ho Rattana Chai,หอรัตนไชย
2345,569,13000,Hua Ro,หัวรอ
2346,569,13000,Tha Wasukri,ท่าวาสุกรี
2347,569,13000,Phai Ling,ไผ่ลิง
2348,569,13000,Pak Kran,ปากกราน
2349,569,13000,Phu Khao Thong,ภูเขาทอง
2350,569,13000,Samphao Lom,สำเภาล่ม
2351,569,13000,Suan Phrik,สวนพริก
2352,569,13000,Khlong Takhian,คลองตะเคียน
2353,569,13000,Wat Tum,วัดตูม
2354,569,13000,Han Tra,หันตรา
2355,569,13000,Lumphli,ลุมพลี
2356,569,13000,Ban Mai,บ้านใหม่
2357,569,13000,Ban Ko,บ้านเกาะ
2358,569,13000,Khlong Suan Phu,คลองสวนพลู
2359,569,13000,Khlong Sa Bua,คลองสระบัว
2360,569,13000,Ko Rian,เกาะเรียน
2361,569,13000,Ban Pom,บ้านป้อม
2362,569,13000,Ban Run,บ้านรุน
2363,570,13130,Tha Ruea,ท่าเรือ
2364,570,13130,Champa,จำปา
2365,570,13130,Tha Luang,ท่าหลวง
2366,570,13130,Ban Rom,บ้านร่อม
2367,570,13130,Sala Loi,ศาลาลอย
2368,570,13130,Wang Daeng,วังแดง
2369,570,13130,Pho En,โพธิ์เอน
2370,570,13130,Pak Tha,ปากท่า
2371,570,13130,Nong Khanak,หนองขนาก
2372,570,13130,Tha Chao Sanuk,ท่าเจ้าสนุก
2373,571,13260,Nakhon Luang,นครหลวง
2374,571,13260,Tha Chang,ท่าช้าง
2375,571,13260,Bo Phong,บ่อโพง
2376,571,13260,Ban Chung,บ้านชุ้ง
2377,571,13260,Pak Chan,ปากจั่น
2378,571,13260,Bang Rakam,บางระกำ
2379,571,13260,Bang Phrakhru,บางพระครู
2380,571,13260,Mae La,แม่ลา
2381,571,13260,Nong Pling,หนองปลิง
2382,571,13260,Khlong Sakae,คลองสะแก
2383,571,13260,Sam Thai,สามไถ
2384,571,13260,Phra Non,พระนอน
2385,572,13190,Bang Sai,บางไทร
2386,572,13190,Bang Phli,บางพลี
2387,572,13190,Sanam Chai,สนามชัย
2388,572,13190,Ban Paeng,บ้านแป้ง
2389,572,13190,Na Mai,หน้าไม้
2390,572,13190,Bang Yitho,บางยี่โท
2391,572,13190,Khae Ok,แคออก
2392,572,13190,Khae Tok,แคตก
2393,572,13190,Chang Lek,ช่างเหล็ก
2394,572,13190,Krachaeng,กระแชง
2395,572,13190,Ban Klueng,บ้านกลึง
2396,572,13190,Chang Noi,ช้างน้อย
2397,572,13190,Ho Mok,ห่อหมก
2398,572,13190,Phai Phra,ไผ่พระ
2399,572,13190,Kok Kaeo Burapha,กกแก้วบูรพา
2400,572,13190,Mai Tra,ไม้ตรา
2401,572,13190,Ban Ma,บ้านม้า
2402,572,13190,Ban Ko,บ้านเกาะ
2403,572,13290,Ratchakhram,ราชคราม
2404,572,13290,Chang Yai,ช้างใหญ่
