"Display Brand Logo on Product Listing","Display Brand Logo on Product Listing"
"Note. Please enable ""Used in Product Listing"" setting for brand attribute.","Note. Please enable ""Used in Product Listing"" setting for brand attribute."
"Brand Logo Width","Brand Logo Width"
"Please specify the value in pixels (e.g. 10) or percent (e.g. 10%). If the field is left empty, the default image size (30px) will be used.","Please specify the value in pixels (e.g. 10) or percent (e.g. 10%). If the field is left empty, the default image size (30px) will be used."
"Brand Logo Height","Brand Logo Height"
"Add Hreflang Tags for Amasty Brands","Add Hreflang Tags for Amasty Brands"
"Amasty Brand List","Amasty Brand List"
"List of your brand attribute options. Links lead to Brand Pages.","List of your brand attribute options. Links lead to Brand Pages."
"Number of Columns","Number of Columns"
"Enable Search","Enable Search"
"Show the number of products next to Brand name. Please note that this setting may affect performance.","Show the number of products next to Brand name. Please note that this setting may affect performance."
Template,Template
Index,Index
"Amasty Brand Slider","Amasty Brand Slider"
"Brand Slider","Brand Slider"
"Visible Items Quantity","Visible Items Quantity"
"Disable to display only the brands that have products assigned to them.","Disable to display only the brands that have products assigned to them."
"Sort By","Sort By"
"Slider Max Width, px","Slider Max Width, px"
"Header Title","Header Title"
"Slider Background Color","Slider Background Color"
"Header Text Color","Header Text Color"
"Show Brand Label","Show Brand Label"
"Show Buttons","Show Buttons"
"Display Prev/Next buttons.","Display Prev/Next buttons."
"Infinity Loop","Infinity Loop"
"Enable continuous loop mode. Because of nature of how the loop mode works (it will rearrange slides), total number of slides must be >= slidesPerView * 2","Enable continuous loop mode. Because of nature of how the loop mode works (it will rearrange slides), total number of slides must be >= slidesPerView * 2"
"Simulate Touch","Simulate Touch"
"Click and drag to change slides on desktop. On mobile devices swipe is always available.","Click and drag to change slides on desktop. On mobile devices swipe is always available."
"Show Pagination","Show Pagination"
"Clickable Pagination","Clickable Pagination"
Autoplay,Autoplay
"Autoplay Delay","Autoplay Delay"
Slider,Slider
"Store View","Store View"
"Add to the slider","Add to the slider"
"Remove from the slider","Remove from the slider"
"Slider Image","Slider Image"
"Show in Slider","Show in Slider"
"URL alias","URL alias"
